"",""
"Action","Action"
"Add Username","Add Username"
"An error occurred while updating the usernames.","An error occurred while updating the usernames."
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change Is the username reserved?","Change Is the username reserved?"
"Change status","Change status"
"Could not find username to delete.","Could not find username to delete."
"Created at","Created at"
"Customer","Customer"
"Delete Username","Delete Username"
"Delete","Delete"
"Disabled","Disabled"
"Edit Username '%s'","Edit Username '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving username","Error saving username"
"Excel","Excel"
"Home","Home"
"Id","Id"
"Is the username reserved?","Is the username reserved?"
"No","No"
"None","None"
"Please select usernames to delete.","Please select usernames to delete."
"Please select usernames.","Please select usernames."
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Username","Save Username"
"Status","Status"
"Store views","Store views"
"The usernames has been deleted.","The usernames has been deleted."
"There was a problem saving the username.","There was a problem saving the username."
"There was an error deleting username.","There was an error deleting username."
"There was an error deleting usernames.","There was an error deleting usernames."
"There was an error updating usernames.","There was an error updating usernames."
"This username no longer exists.","This username no longer exists."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Total of %d usernames were successfully deleted.","Total of %d usernames were successfully deleted."
"Total of %d usernames were successfully updated.","Total of %d usernames were successfully updated."
"Unable to find username to save.","Unable to find username to save."
"Updated at","Updated at"
"Username was saved","Username was saved"
"Username was successfully deleted.","Username was successfully deleted."
"Username was successfully saved","Username was successfully saved"
"Username","Username"
"Usernames","Usernames"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"